TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,2812,4863,-2051,886,5.49,53483,1.19,2.35,0.57,358,128,0,0,0,32,0,0,0,0,0,0,35,0,0,0,11,0,16,0,34,0,365,1,1492,31,0,14192,439,16950
2,2774,2616,158,718,3.64,53483,1.21,2.35,0.58,334,90,0,0,0,32,0,15,0,0,0,0,0,0,0,0,0,0,0,13,29,0,370,1,2081,2,0,10275,336,13960
3,4048,10792,-6744,1195,9.03,39782,0.99,1.76,0.49,397,2064,0,2,0,60,50,68,276,75,156,203,103,60,11,120,57,173,82,134,213,221,671,1,384,179,68,0,33,980
4,4188,3507,681,1261,2.78,38595,0.96,1.74,0.5,414,2695,0,2,6,132,538,160,679,55,28,88,54,34,9,101,23,352,32,120,199,82,628,1,2231,382,574,7638,74,12820
5,4281,4087,194,1414,2.89,33116,0.87,1.56,0.49,566,2000,0,0,0,172,205,31,793,52,6,44,39,29,6,72,28,206,31,18,145,124,916,1,1914,245,81,5993,362,9840
6,4581,4309,272,1315,3.28,39394,1.18,1.68,0.6,400,5735,0,8,0,83,1900,63,318,59,14,592,160,1335,142,114,39,137,21,158,160,433,697,1,605,83,742,937,32,3030
7,1567,1660,-93,595,2.79,57081,1.12,2.36,0.48,371,291,0,0,0,172,0,7,0,20,0,17,0,0,0,30,0,0,10,0,36,0,233,1,1007,15,0,22390,559,25550
8,1914,1713,201,727,2.36,43555,0.92,2.08,0.5,341,311,0,0,0,51,26,4,18,13,0,7,0,9,4,17,0,19,0,38,61,44,277,1,1521,225,216,14560,415,19690
9,3046,2983,63,911,3.27,65671,1.55,2.55,0.59,401,458,127,0,0,13,0,9,32,33,3,13,16,8,0,35,45,19,12,35,56,0,372,1,1305,26,0,21120,227,25610
10,4007,10991,-6984,1193,9.21,47759,1.08,1.85,0.5,397,636,0,0,0,37,4,61,116,23,5,11,83,16,0,24,22,46,18,11,128,30,563,1,673,56,35,324,24,1410
11,4438,10073,-5635,1342,7.51,36428,1.15,1.66,0.61,423,3243,0,1,0,128,125,62,740,267,13,268,189,105,9,646,21,236,22,95,234,83,740,1,458,235,15,133,63,1230
12,4207,11152,-6945,1400,7.97,41077,1.01,1.76,0.51,398,2346,0,2,34,71,0,29,94,85,32,127,51,50,14,914,32,116,17,39,154,485,789,1,519,49,9,119,31,1390
13,4184,6944,-2760,1437,4.83,39671,0.94,1.74,0.49,429,1676,0,2,38,110,126,185,122,43,0,72,132,33,8,169,29,100,22,119,276,92,842,1,892,234,382,1062,42,3320
14,3506,2213,1293,1038,2.13,54001,1.18,2.28,0.53,407,310,0,0,0,22,9,10,18,18,0,14,0,25,0,43,36,55,18,18,25,0,454,1,2201,26,2,19008,439,23430
15,4731,11869,-7138,1411,8.41,60954,1.32,2.47,0.55,478,851,319,11,0,54,9,11,92,68,0,19,19,14,0,28,18,61,26,15,56,30,791,1,3480,440,0,28815,241,36090
16,3306,9615,-6309,877,10.96,42942,1.11,1.94,0.58,342,491,0,0,0,74,0,17,60,31,0,17,27,9,0,44,0,42,0,12,146,13,439,1,2576,245,20,9750,278,13400
17,3192,2244,948,947,2.37,53483,1.18,2.35,0.57,337,546,342,0,0,93,8,0,0,25,0,0,0,0,0,32,0,0,0,0,46,0,533,1,2787,43,0,24030,200,28430
18,2041,1993,48,759,2.63,42456,0.92,1.98,0.49,379,400,186,0,0,69,0,0,0,0,0,0,20,11,0,0,8,33,10,20,42,0,285,1,1423,13,0,13839,180,16960
19,3311,2225,1086,975,2.28,73145,1.18,2.58,0.48,372,236,0,0,0,30,16,9,26,30,0,13,9,8,0,0,0,26,16,15,40,0,683,1,3929,124,0,43370,561,50820
20,1825,1895,-70,642,2.95,66179,1.26,2.31,0.41,346,435,282,0,6,52,0,7,0,0,8,12,19,11,0,0,0,0,0,0,39,0,280,1,1099,1,1,20059,215,22930
21,3231,3285,-54,962,3.41,55338,1.11,2.06,0.47,400,629,376,0,0,18,0,9,0,0,0,17,0,9,0,32,25,0,29,19,46,48,518,1,1500,12,0,28569,231,31210
22,1303,2493,-1190,638,3.91,55110,1.12,2.07,0.44,356,257,0,40,0,39,0,0,18,86,0,9,0,9,0,17,0,22,0,0,17,0,222,1,822,137,0,11014,381,13410
23,3274,2844,430,902,3.15,68271,1.13,2.44,0.47,390,510,152,0,3,32,0,11,33,44,0,21,23,14,3,40,0,57,14,11,37,13,542,1,3240,475,0,30151,235,36870
24,3007,12825,-9818,971,13.21,49033,1.04,1.92,0.45,408,327,0,0,5,58,0,24,38,24,17,13,10,8,0,39,0,28,0,0,63,0,429,1,1903,21,0,6866,236,9960
25,2518,2454,64,821,2.99,59225,1.14,2.16,0.41,529,643,157,0,0,109,161,4,14,13,0,9,14,8,0,14,0,31,24,21,64,0,410,1,1948,616,0,24988,241,30020
26,1435,2298,-863,586,3.92,66179,1.28,2.31,0.41,436,526,398,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,38,32,38,222,1,1209,31,0,6966,126,10580
27,4792,4731,61,1615,2.93,39860,1.07,1.77,0.51,586,2212,0,12,0,148,352,224,70,474,0,40,44,39,9,101,66,258,153,16,135,69,949,1,1084,39,1447,1471,102,5160
28,1633,2466,-833,672,3.67,43555,0.87,2.08,0.48,357,279,0,0,3,45,7,12,20,17,0,5,25,8,0,17,0,26,0,17,21,56,250,1,257,22,17,88,27,690
29,3266,3078,188,945,3.26,53483,1.22,2.35,0.59,331,418,0,0,0,55,12,45,48,18,0,0,18,0,0,0,61,57,0,32,70,0,417,1,1564,89,0,6141,225,9020
30,649,400,249,427,0.94,39183,0.68,1.88,0.34,195,439,114,104,0,13,0,5,100,47,0,0,0,0,0,0,5,0,0,16,20,15,142,1,480,453,0,6304,490,12680
31,822,4333,-3511,318,13.63,47167,0.93,1.89,0.39,256,272,186,0,0,32,0,0,0,0,0,0,0,0,0,0,10,0,0,0,44,0,241,1,1551,53,0,11933,256,23620
32,993,1499,-506,478,3.14,39183,0.73,1.88,0.37,205,150,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,247,1,670,27,0,2412,1455,17330
33,688,2649,-1961,389,6.81,39183,0.7,1.88,0.36,189,78,0,0,0,30,0,0,9,13,0,0,0,0,0,0,4,0,0,0,7,14,136,1,630,95,0,8253,325,14750
34,1156,1482,-326,512,2.89,39183,0.73,1.88,0.37,228,100,0,0,0,0,0,10,49,0,6,0,0,0,0,0,0,0,7,0,13,15,310,1,987,16,0,13718,515,42330
35,1956,1433,523,269,5.33,39183,0.76,1.88,0.39,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,404,0,0,4845,247,17790
36,404,1268,-864,167,7.59,40400,0.85,1.97,0.32,188,135,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,74,121,1,594,0,0,6953,361,9990
37,1548,12323,-10775,558,22.08,44823,0.93,1.8,0.36,330,599,6,0,0,32,4,12,264,44,6,10,0,8,13,25,9,30,0,19,89,26,467,1,2240,107,0,13439,273,19230
38,999,590,409,445,1.33,40400,0.81,1.97,0.31,317,207,0,0,0,37,0,7,37,18,6,0,35,0,0,0,0,0,0,18,31,20,645,200,2479,72,0,18706,1033,55740
39,1397,14006,-12609,493,28.41,42713,0.99,1.72,0.41,301,825,64,0,0,25,10,18,111,25,0,53,63,44,0,29,10,109,0,69,84,110,418,1,1718,286,89,8402,605,19310
40,960,614,346,433,1.42,40400,0.81,1.97,0.31,281,195,0,0,0,63,0,20,11,21,0,0,0,0,0,0,0,0,0,26,23,31,542,109,2723,30,0,29396,607,71870
41,591,5592,-5001,245,22.82,48771,1.03,1.89,0.42,234,406,122,0,0,40,47,41,25,59,0,0,0,0,0,0,0,0,0,14,38,19,157,1,894,183,0,3677,166,8840
42,724,11228,-10504,287,39.12,48771,1.07,1.89,0.44,246,462,5,0,0,184,95,14,43,21,0,13,0,0,0,0,10,0,0,25,33,19,182,1,830,140,0,2050,292,8950
43,1661,13729,-12068,572,24,48646,1,1.89,0.41,309,796,159,0,0,27,127,55,35,54,0,23,0,17,0,97,11,55,0,25,46,64,541,1,1840,392,214,5109,201,12770
44,1006,993,13,346,2.87,39664,0.78,1.88,0.39,228,200,91,0,0,31,0,22,0,25,0,0,20,0,0,0,0,0,0,0,10,0,224,1,1315,19,0,7865,385,17320
45,938,439,499,335,1.31,48357,0.97,1.9,0.36,266,150,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,21,0,27,0,259,1,1415,102,0,17174,495,23760
46,559,266,293,225,1.18,40400,0.82,1.97,0.31,222,128,0,0,0,46,11,6,0,0,0,0,0,0,0,0,0,0,11,0,31,24,163,1,979,32,0,7201,374,10490
47,1310,888,422,485,1.83,48771,1.01,1.89,0.41,266,250,91,0,0,18,0,6,16,16,5,0,0,0,0,0,0,0,23,12,64,0,344,1,1620,122,0,5665,313,17510
48,2137,13383,-11246,809,16.54,45245,0.9,1.8,0.34,432,398,121,0,0,28,0,0,0,28,0,23,25,0,0,0,0,0,31,64,39,40,1053,244,2900,237,22,4893,824,29040
