TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
1,1228,1228,0,452,2.72,53483,1.19,2.35,0.57,133,46,0,0,0,14,0,0,0,0,0,0,14,0,0,0,3,0,5,0,10,0,406,1,1269,25,0,14120,740,16950
2,1400,1400,0,502,2.79,53483,1.21,2.35,0.58,168,32,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,4,8,0,471,1,1855,2,0,10245,593,13960
3,1833,1833,0,675,2.72,39782,0.99,1.76,0.49,267,1741,0,0,0,35,40,30,174,61,126,130,77,20,0,53,36,82,56,262,119,439,816,142,355,164,44,0,101,980
4,1816,1816,0,705,2.58,38595,0.96,1.74,0.5,285,2584,0,0,3,80,957,259,424,23,18,32,31,3,0,27,6,497,9,74,97,43,703,1,1955,351,288,7727,578,12820
5,2604,2508,96,1032,2.43,33116,0.87,1.56,0.49,521,1858,0,0,0,117,451,13,640,11,3,22,31,12,0,32,15,141,18,8,99,244,1018,1,1709,222,39,5950,676,9840
6,2845,2674,171,876,3.05,39394,1.18,1.68,0.6,175,6109,0,4,0,41,3286,18,165,0,8,357,217,850,222,22,16,38,0,94,51,721,894,19,587,79,490,1057,165,3030
7,655,655,0,245,2.67,57081,1.12,2.36,0.48,131,97,0,0,0,64,0,2,0,5,0,5,0,0,0,6,0,0,3,0,12,0,251,6,841,3,0,22051,1077,25550
8,737,737,0,266,2.77,43555,0.92,2.08,0.5,119,162,0,0,0,37,19,2,7,0,0,0,0,0,2,0,0,0,0,27,41,27,280,14,1287,218,124,14443,865,19690
9,1203,1094,109,387,2.83,65671,1.55,2.55,0.59,168,233,90,0,0,8,0,3,9,15,2,4,7,0,0,9,28,0,3,22,32,0,412,25,1104,20,0,20541,1011,25610
10,2041,2041,0,788,2.59,47759,1.08,1.85,0.5,291,351,0,0,0,25,3,40,69,6,4,0,60,9,0,0,11,9,9,4,85,18,762,1,630,51,25,342,63,1410
11,2710,2696,14,868,3.11,36428,1.15,1.66,0.61,296,3194,0,0,0,190,290,34,617,536,9,207,162,71,0,521,8,136,5,194,156,57,942,75,423,220,9,136,118,1230
12,2541,2541,0,904,2.81,41077,1.01,1.76,0.51,269,2283,0,0,18,33,0,5,27,12,17,54,24,16,4,1272,12,37,3,17,63,671,1017,112,483,43,5,125,70,1390
13,2616,2577,39,960,2.68,39671,0.94,1.74,0.49,279,1504,0,0,30,225,270,135,69,35,0,50,108,14,2,113,16,71,13,92,198,64,1036,77,819,221,210,687,677,3320
14,1523,1523,0,536,2.84,54001,1.18,2.28,0.53,184,96,0,0,0,9,3,3,2,3,0,4,0,9,0,11,15,15,6,7,7,0,538,3,1935,20,2,18801,917,23430
15,2575,2566,9,929,2.76,60954,1.32,2.47,0.55,297,577,282,10,0,44,6,5,60,44,0,7,12,9,0,0,11,12,14,9,34,19,946,17,3102,450,0,27820,1604,36090
16,1717,1717,0,614,2.8,42942,1.11,1.94,0.58,223,194,0,0,0,42,0,7,25,9,0,5,17,0,0,9,0,0,0,3,78,0,560,1,2312,237,13,9836,473,13400
17,1800,1800,0,664,2.71,53483,1.18,2.35,0.57,228,361,252,0,0,65,4,0,0,11,0,0,0,0,0,5,0,0,0,0,24,0,635,1,2470,43,0,23749,799,28430
18,772,772,0,280,2.76,42456,0.92,1.98,0.49,133,185,95,0,0,34,0,0,0,0,0,0,10,5,0,0,3,9,3,9,17,0,286,6,1130,10,0,13737,577,16960
19,2132,2132,0,788,2.71,73145,1.18,2.58,0.48,298,87,0,0,0,16,8,4,7,11,0,5,4,2,0,0,0,0,6,7,17,0,802,13,3490,113,0,42748,1634,50820
20,765,765,0,293,2.61,66179,1.26,2.31,0.41,151,284,204,0,3,35,0,2,0,0,4,4,13,3,0,0,0,0,0,0,17,0,327,34,980,1,1,19989,404,22930
21,1439,1439,0,558,2.58,55338,1.11,2.06,0.47,232,418,295,0,0,10,0,2,0,0,0,8,0,3,0,5,12,0,16,11,25,31,586,28,1321,9,0,28465,517,31210
22,539,539,0,196,2.75,55110,1.12,2.07,0.44,107,91,0,22,0,21,0,0,0,43,0,0,0,0,0,0,0,0,0,0,6,0,203,8,687,129,0,11076,463,13410
23,1728,1713,15,660,2.6,68271,1.13,2.44,0.47,276,184,87,0,2,17,0,2,0,13,0,7,11,4,0,8,0,17,4,0,12,0,668,8,2875,493,0,29358,1375,36870
24,1243,1243,0,483,2.57,49033,1.04,1.92,0.45,275,117,0,0,2,30,0,10,11,6,9,4,5,0,0,12,0,0,0,0,28,0,511,27,1678,18,0,6989,343,9960
25,1175,1175,0,471,2.49,59225,1.14,2.16,0.41,260,528,153,0,0,102,158,2,0,0,0,0,13,0,0,0,0,5,23,15,58,0,483,12,1697,670,0,24648,777,30020
26,610,610,0,230,2.65,66179,1.28,2.31,0.41,125,315,255,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,23,10,18,240,10,1042,29,0,6928,334,10580
27,3417,3331,86,1192,2.79,39860,1.07,1.77,0.51,490,2089,0,6,0,231,557,124,12,706,0,13,25,11,0,36,33,148,93,0,59,33,1231,38,1066,38,1164,1678,1,5160
28,744,744,0,281,2.65,43555,0.87,2.08,0.48,116,96,0,0,2,23,3,5,6,0,0,0,12,0,0,0,0,4,0,8,7,26,287,6,227,19,13,92,58,690
29,1603,1603,0,577,2.78,53483,1.22,2.35,0.59,178,156,0,0,0,25,5,19,16,0,0,0,7,0,0,0,25,18,0,14,27,0,500,1,1376,81,0,6285,275,9020
30,261,261,0,117,2.23,39183,0.68,1.88,0.34,79,425,121,113,0,5,0,2,101,51,0,0,0,0,0,0,3,0,0,10,19,0,132,15,404,448,0,6041,833,12680
31,650,650,0,281,2.31,47167,0.93,1.89,0.39,156,123,92,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,309,28,1423,53,0,11644,674,23620
32,404,404,0,172,2.35,39183,0.73,1.88,0.37,106,61,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,289,117,559,23,0,2286,1695,17330
33,269,269,0,117,2.3,39183,0.7,1.88,0.36,79,25,0,0,0,16,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,0,118,1,534,90,0,8367,314,14750
34,407,407,0,175,2.33,39183,0.73,1.88,0.37,119,34,0,0,0,0,0,4,22,0,2,0,0,0,0,0,0,0,2,0,3,0,352,177,812,13,0,13644,768,42330
35,135,135,0,53,2.55,39183,0.76,1.88,0.39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,14,333,0,0,4976,189,17790
36,335,335,0,140,2.39,40400,0.85,1.97,0.32,103,50,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,157,17,537,0,0,7026,344,9990
37,1304,1304,0,553,2.36,44823,0.93,1.8,0.36,293,450,0,0,0,25,0,6,241,40,5,3,0,0,11,11,0,15,0,14,79,0,587,34,2041,93,0,13108,814,19230
38,1064,1064,0,474,2.24,40400,0.81,1.97,0.31,277,81,0,0,0,14,0,2,16,6,2,0,14,0,0,0,0,0,0,7,13,7,804,330,2201,60,0,18078,1952,55740
39,1092,1092,0,436,2.5,42713,0.99,1.72,0.41,198,693,59,0,0,17,8,12,89,17,0,48,60,41,0,13,0,94,0,66,77,91,474,38,1544,264,1,7962,1328,19310
40,1023,1023,0,453,2.26,40400,0.81,1.97,0.31,220,63,0,0,0,22,0,7,0,7,0,0,0,0,0,0,0,0,0,9,8,10,616,162,2420,24,0,28763,1548,71870
41,420,420,0,171,2.46,48771,1.03,1.89,0.42,94,208,61,0,0,20,23,19,0,71,0,0,0,0,0,0,0,0,0,5,9,0,194,23,823,180,0,3658,260,8840
42,515,488,27,202,2.42,48771,1.07,1.89,0.44,120,294,0,0,0,172,60,6,14,10,0,5,0,0,0,0,0,0,0,13,14,0,235,33,754,131,0,2003,424,8950
43,1339,1339,0,565,2.37,48646,1,1.89,0.41,269,714,116,0,0,17,248,37,11,92,0,12,0,10,0,63,4,28,0,16,28,31,614,49,1690,391,110,4970,597,12770
44,585,585,0,240,2.44,39664,0.78,1.88,0.39,129,120,60,0,0,17,0,12,0,12,0,0,12,0,0,0,0,0,0,0,6,0,282,42,1114,16,0,7332,1124,17320
45,773,773,0,323,2.39,48357,0.97,1.9,0.36,183,56,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,340,17,1290,105,0,17133,656,23760
46,449,449,0,195,2.3,40400,0.82,1.97,0.31,132,46,0,0,0,19,4,2,0,0,0,0,0,0,0,0,0,0,3,0,11,8,218,24,871,30,0,7219,466,10490
47,818,818,0,341,2.4,48771,1.01,1.89,0.41,202,140,58,0,0,9,0,3,6,6,2,0,0,0,0,0,0,0,13,3,40,0,427,86,1451,114,0,5486,668,17510
48,1931,1931,0,853,2.26,45245,0.9,1.8,0.34,408,167,55,0,0,12,0,0,0,10,0,10,10,0,0,0,0,0,14,29,15,14,1140,287,2642,221,0,4591,1423,29040
49,2234,2101,133,973,2.16,36977,0.82,1.55,0.34,566,2867,31,0,8,68,255,38,283,59,33,184,50,64,9,56,43,517,7,234,148,779,1077,105,790,276,75,171,267,2270
50,515,515,0,229,2.25,40400,0.8,1.97,0.3,144,184,0,0,0,0,0,3,18,0,2,11,42,23,0,0,6,0,0,18,28,33,272,43,254,36,0,22,103,580
